"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm9790",3.99632736406735e-19,3.19633278788264,0.987,1,1.46877019611567e-14
"Gm5257",4.00356640075398e-19,3.16463919852985,0.975,0.741,1.47143075926911e-14
"Gm11652",4.15692413579203e-19,3.00637130166507,1,1,1.52779432762764e-14
"Rpl36a-ps3",4.15692413579203e-19,2.47247483630173,1,1,1.52779432762764e-14
"Rpl36-ps3",4.32389356310745e-19,2.25175042277498,1,1,1.58916060124888e-14
"Gm23375",4.39457879943936e-19,4.12089646984161,0.987,0.776,1.61513954615795e-14
"Gm12989",4.49748522553585e-19,2.10415552884107,1,0.983,1.65296074494119e-14
"Gapdh",4.67795834493026e-19,1.91645365015984,1,1,1.71929003051222e-14
"Gm10240",4.67795834493026e-19,2.66349723253022,1,1,1.71929003051222e-14
"Gm12341",4.67795834493026e-19,3.06533719259498,1,1,1.71929003051222e-14
"Gm8317",4.73336075618219e-19,2.92087833177979,0.987,0.879,1.73965207871964e-14
"Gm12017",4.73734258390051e-19,2.74844052200868,0.987,0.672,1.74111551986095e-14
"Cd276",4.83021437421589e-19,4.73097663878371,0.987,0.293,1.77524868895556e-14
"Gm9385",4.86558215275694e-19,2.09596860739416,1,1,1.78824740860276e-14
"Gm14480",4.87528842222242e-19,3.30400872495376,0.975,0.741,1.79181475381941e-14
"Bnip3",4.90112557790086e-19,5.46880656495295,0.987,0.707,1.8013106836459e-14
"Cavin1",4.96256525418642e-19,7.29228880643636,1,0.586,1.82389160787114e-14
"Gm12005",5.06063627116158e-19,2.72169579684738,1,1,1.85993564874002e-14
"Gm8662",5.15620420185853e-19,2.48758815747976,0.987,0.948,1.89505973030907e-14
"Gm7027",5.26341110833109e-19,2.05996322384546,1,1,1.93446148464493e-14
"Gm12182",5.26561460032225e-19,3.12960258267755,0.975,0.586,1.93527133405643e-14
"Gm14336",5.36728492992152e-19,2.81333280059928,0.987,0.983,1.97263823029406e-14
"Gm11605",5.45630181802802e-19,3.24845438187747,1,0.897,2.00535460717984e-14
"Gm5643",5.45630181802802e-19,3.32448178999294,1,0.897,2.00535460717984e-14
"Gm19807",5.69121173132906e-19,3.48454756563268,1,0.948,2.09169104761537e-14
"Gm8213",5.69121173132906e-19,2.54330603413619,1,0.948,2.09169104761537e-14
"Slc2a1",5.69280859565438e-19,5.74889195685994,1,0.966,2.09227794316086e-14
"Tbca",5.69334097838446e-19,2.34458119216191,1,1,2.09247360978564e-14
"Dusp6",5.86856149640457e-19,5.6396162163077,0.949,0.207,2.15687240677357e-14
"Gm20620",5.92113452690901e-19,3.42225727935972,1,0.983,2.17619457267487e-14
"Gm11930",6.08386448796005e-19,3.10918739941598,1,0.69,2.23600271525996e-14
"Gm9294",6.15792672498167e-19,1.83005635659172,1,1,2.26322280923251e-14
"Gm5566",6.40406837975826e-19,2.45755437476861,1,1,2.35368725161255e-14
"Gm5507",6.57372952342822e-19,3.20924725430789,0.987,0.759,2.41604281174557e-14
"Gm5388",6.60354899468683e-19,4.49851547904877,0.975,0.655,2.42700236201725e-14
"Gm13653",6.64752701740225e-19,2.740519527721,1,0.914,2.44316560470585e-14
"Gm6436",6.65992378772898e-19,1.85018247302924,1,1,2.44772178970403e-14
"Rpsa-ps2",6.65992378772898e-19,2.01097863598637,1,1,2.44772178970403e-14
"Mal2",6.73760324258008e-19,13.4354569535157,0.823,0,2.47627131974546e-14
"Ipo5",6.9258712460451e-19,3.09654826418989,1,1,2.54546545905896e-14
