"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dpysl2",9.22635073072529e-07,1.54682549769687,0.987,0.966,0.0339096068406347
"Klhl9",9.22742787178344e-07,0.773112106952683,1,1,0.0339135656571657
"Zfp534",9.22742787178344e-07,-0.618556234841977,1,1,0.0339135656571657
"Adamts1",9.40896545338164e-07,0.263713009892733,0.367,0.017,0.0345807707308135
"Actg1",9.4345226980952e-07,0.929568621577739,1,1,0.0346747012723093
"Rps17",9.4345226980952e-07,-0.268473365123881,1,1,0.0346747012723093
"Rab25",9.81389993891474e-07,0.352453695695725,0.684,0.241,0.0360690264454934
"Pgpep1",1.00727803242868e-06,-0.799386611775937,0.949,0.966,0.0370204895258513
"Idh2",1.0083004872486e-06,-0.890443580992902,1,1,0.0370580678078476
"Terf1",1.0083004872486e-06,-0.805541585578935,0.987,1,0.0370580678078476
"Tro",1.02870219608074e-06,0.474010407684731,0.861,0.552,0.0378078918125555
"Hspb2",1.05334460658453e-06,0.419318372517717,0.608,0.241,0.0387135743258014
"Gtdc1",1.05743719697898e-06,0.350813687400558,0.81,0.431,0.0388639893005683
"Sh3pxd2a",1.08212451125433e-06,0.301540899348872,0.772,0.379,0.0397713221621304
"Helz",1.10146802991293e-06,-0.851449465113075,1,1,0.0404822545033898
"Kdelr2",1.12602354880869e-06,-0.681912216816214,1,0.983,0.0413847434893656
"Usp6nl",1.14117610074029e-06,0.470074997945357,0.924,0.672,0.0419416452305077
"Zfp960",1.15077522154315e-06,-0.656739156518445,0.975,0.966,0.0422944417173756
"Rpl23",1.15110539557973e-06,-0.397970907325982,1,1,0.0423065766037419
"Tmem231",1.16451186472465e-06,-0.882639939791823,0.835,1,0.0427993045642249
"Fam129b",1.17280780407421e-06,0.440942681445578,0.722,0.379,0.0431042052231394
"Dync1h1",1.17672436544554e-06,-0.801246877591905,1,1,0.0432481506032198
"Sec11a",1.17672436544554e-06,-0.562506244042835,1,1,0.0432481506032198
"Arrdc4",1.18368406274308e-06,0.424008010939928,0.924,0.759,0.0435039403579966
"Pros1",1.19383246546951e-06,-0.303363860725098,0.367,0.759,0.043876924603401
"Hdac1",1.22961791207666e-06,-0.710831450061072,1,1,0.0451921471225535
"Spon1",1.23575308465686e-06,0.555835308814187,0.772,0.276,0.0454176331203937
"Lats2",1.2427985490711e-06,0.483388602091871,0.671,0.259,0.04567657507401
"Rps25-ps1",1.25691514770687e-06,0.302692917611738,1,1,0.0461954024236704
"Snrpa1",1.25691514770687e-06,0.542294001113853,1,1,0.0461954024236704
"Fam102b",1.25778102689226e-06,0.49576932307216,0.456,0.069,0.0462272260813711
"Csnk1g2",1.26446932108461e-06,0.36238984519774,0.975,0.776,0.0464730409578226
"Epb41l2",1.28479483211001e-06,0.966537677061761,1,0.983,0.0472200644645392
"Gtf2h5",1.31326885277888e-06,0.451969358821889,1,1,0.0482665701461822
"Liph",1.31779081289469e-06,-0.471475454680124,0.519,0.879,0.0484327657463184
"Sirpa",1.33698820330162e-06,-0.266079904645298,0.304,0.707,0.0491383274359446
"Commd4",1.34234932782397e-06,-0.684731568173655,0.987,1,0.0493353648455143
"Pcbp2",1.34234932782397e-06,0.464465538692301,1,1,0.0493353648455143
"Seh1l",1.34234932782397e-06,0.874781853744426,1,1,0.0493353648455143
"Dqx1",1.34586468543444e-06,-1.35044575211714,0.848,0.931,0.0494645647837718
"Ninl",1.34616754142272e-06,-1.14567809888075,0.861,0.983,0.0494756956499093
"Skp2",1.35045469482e-06,0.53577617622014,0.987,0.759,0.0496332613987196
